id_pedido,id_produto,quantidade,valor_unitario,custo_envio,valor_total_venda
PED00675,PROD0076,4,302.96,41.17,1211.84
PED00501,PROD0094,1,392.28,49.07,392.28
PED00084,PROD0040,1,176.1,40.79,176.1
PED00048,PROD0006,1,196.04,36.84,196.04
PED01518,PROD0086,3,445.07,11.1,1335.21
PED00837,PROD0087,3,208.06,41.77,624.1800000000001
PED01007,PROD0068,3,316.12,38.12,948.36
PED00688,PROD0068,3,445.73,39.67,1337.19
PED00386,PROD0080,2,112.82,15.4,225.64
PED00969,PROD0029,3,491.12,45.65,1473.3600000000001
PED01412,PROD0072,3,353.96,9.38,1061.8799999999999
PED01005,PROD0005,3,253.1,16.41,759.3
PED00217,PROD0088,4,221.15,34.84,884.6
PED01724,PROD0018,4,477.64,35.32,1910.56
PED01004,PROD0079,3,110.81,19.1,332.43
PED01369,PROD0084,2,162.72,36.57,325.44
PED01253,PROD0065,4,160.82,22.46,643.28
PED00254,PROD0009,1,151.61,5.01,151.61
PED00235,PROD0015,4,239.58,12.32,958.32
PED01049,PROD0036,1,494.7,44.72,494.7
PED01607,PROD0078,4,445.51,15.02,1782.04
PED01284,PROD0076,3,170.7,10.08,512.0999999999999
PED01789,PROD0076,4,217.21,35.7,868.84
PED00270,PROD0031,3,338.05,24.83,1014.1500000000001
PED00122,PROD0046,3,18.4,40.85,55.199999999999996
PED00655,PROD0071,4,411.88,43.77,1647.52
PED01280,PROD0042,1,441.1,43.07,441.1
PED01679,PROD0081,1,430.03,19.09,430.03
PED01444,PROD0035,4,193.78,27.75,775.12
PED00258,PROD0025,3,236.38,34.26,709.14
PED00947,PROD0009,1,16.07,19.49,16.07
PED00046,PROD0030,2,205.7,6.85,411.4
PED00862,PROD0096,3,235.61,27.3,706.83
PED00524,PROD0028,4,454.42,5.58,1817.68
PED00887,PROD0004,3,448.05,47.78,1344.15
PED00207,PROD0076,2,483.39,40.85,966.78
PED01334,PROD0000,2,443.7,13.64,887.4
PED00746,PROD0086,1,14.02,17.94,14.02
PED00148,PROD0002,2,324.32,49.23,648.64
PED01857,PROD0066,3,43.44,21.81,130.32
PED00437,PROD0070,1,143.57,40.27,143.57
PED00154,PROD0099,2,293.37,25.11,586.74
PED01701,PROD0034,1,353.3,43.88,353.3
PED01113,PROD0014,1,330.77,36.67,330.77
PED01721,PROD0066,4,34.04,6.03,136.16
PED01853,PROD0092,1,60.77,18.25,60.77
PED00357,PROD0029,1,73.01,30.11,73.01
PED01197,PROD0081,2,54.79,46.68,109.58
PED01240,PROD0074,3,97.33,9.59,291.99
PED01930,PROD0042,3,347.36,32.05,1042.08
PED00455,PROD0059,2,417.11,18.6,834.22
PED00775,PROD0039,3,210.32,45.02,630.96
PED01632,PROD0064,1,349.46,39.43,349.46
PED00628,PROD0028,4,108.01,21.64,432.04
PED01222,PROD0073,1,486.91,12.52,486.91
PED00831,PROD0091,1,181.5,5.52,181.5
PED00485,PROD0094,4,424.47,32.95,1697.88
PED00532,PROD0018,2,473.23,23.28,946.46
PED00199,PROD0002,1,433.71,19.16,433.71
PED00370,PROD0035,1,42.86,49.35,42.86
PED01013,PROD0042,2,328.65,25.98,657.3
PED01982,PROD0014,1,68.84,38.74,68.84
PED00852,PROD0096,1,12.77,12.98,12.77
PED01471,PROD0040,3,35.37,5.61,106.10999999999999
PED00247,PROD0089,2,458.91,23.79,917.82
PED00787,PROD0079,1,455.15,34.95,455.15
PED00263,PROD0035,1,120.65,27.8,120.65
PED01081,PROD0096,4,278.06,45.07,1112.24
PED01325,PROD0083,4,477.96,24.53,1911.84
PED00030,PROD0076,4,253.39,19.0,1013.56
PED01521,PROD0032,1,202.85,46.22,202.85
PED01272,PROD0004,1,246.79,23.31,246.79
PED00604,PROD0077,4,397.21,17.13,1588.84
PED01800,PROD0090,3,243.87,9.39,731.61
PED01294,PROD0086,3,393.81,40.7,1181.43
PED01629,PROD0013,3,221.53,42.13,664.59
PED01689,PROD0067,3,133.48,6.5,400.43999999999994
PED01417,PROD0082,2,169.97,21.14,339.94
PED01820,PROD0046,4,48.13,38.74,192.52
PED00501,PROD0053,1,253.72,47.59,253.72
PED01615,PROD0003,4,82.57,22.0,330.28
PED01827,PROD0093,3,407.66,44.24,1222.98
PED01107,PROD0082,1,216.09,22.72,216.09
PED01388,PROD0094,2,384.85,13.08,769.7
PED00885,PROD0094,4,477.69,5.16,1910.76
PED00548,PROD0008,1,426.24,19.86,426.24
PED01365,PROD0052,1,476.22,22.03,476.22
PED00838,PROD0076,3,288.29,47.53,864.8700000000001
PED01430,PROD0077,3,91.01,14.27,273.03000000000003
PED01448,PROD0059,4,468.34,22.2,1873.36
PED01767,PROD0045,2,435.57,6.13,871.14
PED01116,PROD0053,1,433.56,39.36,433.56
PED00847,PROD0073,3,349.7,46.18,1049.1
PED00613,PROD0094,4,316.21,15.7,1264.84
PED00411,PROD0036,3,17.21,24.3,51.63
PED00431,PROD0022,4,376.55,10.5,1506.2
PED00677,PROD0026,3,54.85,25.56,164.55
PED00158,PROD0069,2,137.28,11.0,274.56
PED00013,PROD0089,1,280.23,28.55,280.23
PED00372,PROD0065,3,231.35,38.06,694.05
PED00224,PROD0060,1,17.73,29.9,17.73
PED01528,PROD0076,4,413.75,16.03,1655.0
PED01096,PROD0050,2,440.61,20.92,881.22
PED01272,PROD0049,1,344.12,33.74,344.12
PED00510,PROD0018,3,275.12,31.54,825.36
PED00602,PROD0000,1,480.76,11.15,480.76
PED00215,PROD0039,1,68.78,43.02,68.78
PED01996,PROD0031,4,371.58,26.38,1486.32
PED01625,PROD0021,2,72.9,12.31,145.8
PED01564,PROD0092,2,197.1,10.53,394.2
PED01970,PROD0065,1,296.89,48.45,296.89
PED01840,PROD0039,1,371.17,17.67,371.17
PED01962,PROD0037,4,11.82,45.89,47.28
PED00987,PROD0047,1,137.69,23.48,137.69
PED01243,PROD0054,4,273.72,22.37,1094.88
PED00839,PROD0074,2,271.11,36.54,542.22
PED00726,PROD0080,2,322.44,5.44,644.88
PED01244,PROD0054,4,158.89,20.21,635.56
PED01412,PROD0050,1,274.86,18.62,274.86
PED00553,PROD0059,2,103.0,44.06,206.0
PED01670,PROD0007,3,101.57,28.81,304.71
PED01065,PROD0085,4,292.52,21.41,1170.08
PED00675,PROD0067,2,345.88,16.97,691.76
PED00872,PROD0074,2,69.0,31.57,138.0
PED00282,PROD0071,2,70.17,11.83,140.34
PED01081,PROD0008,3,287.0,16.08,861.0
PED01837,PROD0089,3,142.35,18.21,427.04999999999995
PED00833,PROD0001,3,202.28,32.36,606.84
PED00536,PROD0079,1,206.37,21.8,206.37
PED01096,PROD0094,4,97.49,27.76,389.96
PED01908,PROD0069,1,10.64,34.27,10.64
PED00922,PROD0084,3,428.04,48.03,1284.1200000000001
PED01152,PROD0089,4,360.35,39.42,1441.4
PED01622,PROD0058,1,348.36,23.24,348.36
PED00841,PROD0018,1,277.79,38.67,277.79
PED01449,PROD0027,1,353.48,47.74,353.48
PED00947,PROD0071,3,468.49,27.47,1405.47
PED00664,PROD0013,2,336.18,23.47,672.36
PED01717,PROD0023,4,139.89,8.51,559.56
PED01148,PROD0043,3,289.57,45.16,868.71
PED00066,PROD0055,4,226.74,16.09,906.96
PED00005,PROD0089,3,282.65,7.88,847.9499999999999
PED00636,PROD0094,1,263.63,29.17,263.63
PED00313,PROD0050,1,430.8,43.07,430.8
PED01349,PROD0031,2,329.38,23.3,658.76
PED00564,PROD0049,2,102.49,40.24,204.98
PED01601,PROD0040,4,40.88,42.64,163.52
PED00825,PROD0065,2,217.94,25.45,435.88
PED00505,PROD0024,2,17.65,31.59,35.3
PED01105,PROD0060,4,165.97,29.03,663.88
PED01622,PROD0065,3,190.33,47.26,570.99
PED01025,PROD0041,2,194.04,37.65,388.08
PED00203,PROD0064,3,489.88,46.64,1469.6399999999999
PED00661,PROD0035,1,158.91,14.9,158.91
PED00804,PROD0075,2,139.96,18.96,279.92
PED00403,PROD0008,1,73.4,8.19,73.4
PED01126,PROD0035,1,260.39,27.5,260.39
PED00535,PROD0091,3,85.3,44.33,255.89999999999998
PED01391,PROD0037,4,311.98,19.71,1247.92
PED01235,PROD0032,2,86.03,10.77,172.06
PED00576,PROD0041,3,292.57,8.08,877.71
PED01984,PROD0060,4,414.87,25.14,1659.48
PED01232,PROD0045,1,30.84,12.38,30.84
PED00762,PROD0085,2,215.68,20.57,431.36
PED01920,PROD0088,1,235.91,41.9,235.91
PED00116,PROD0060,1,397.63,22.28,397.63
PED00627,PROD0017,2,239.28,32.44,478.56
PED00748,PROD0069,4,288.09,27.6,1152.36
PED01501,PROD0081,4,397.69,37.33,1590.76
PED00104,PROD0079,2,284.28,12.03,568.56
PED00494,PROD0014,2,185.57,46.42,371.14
PED01794,PROD0047,3,52.06,33.96,156.18
PED00045,PROD0071,3,367.66,17.19,1102.98
PED00822,PROD0012,1,436.86,10.55,436.86
PED01354,PROD0042,2,485.33,11.74,970.66
PED01239,PROD0059,4,464.03,40.22,1856.12
PED00981,PROD0056,1,400.73,31.46,400.73
PED00959,PROD0070,1,325.3,22.13,325.3
PED01515,PROD0016,1,392.92,19.98,392.92
PED01836,PROD0049,1,221.72,43.51,221.72
PED01945,PROD0031,4,301.44,44.36,1205.76
PED00844,PROD0021,1,180.86,31.16,180.86
PED00448,PROD0054,2,170.09,28.6,340.18
PED00535,PROD0056,3,380.78,41.74,1142.34
PED00510,PROD0012,4,232.43,38.72,929.72
PED01481,PROD0046,2,113.96,23.01,227.92
PED01570,PROD0086,2,108.95,8.72,217.9
PED01559,PROD0061,2,430.99,39.58,861.98
PED00539,PROD0053,3,342.1,12.59,1026.3000000000002
PED01507,PROD0028,3,277.56,5.74,832.6800000000001
PED01999,PROD0021,3,206.46,42.95,619.38
PED00015,PROD0064,2,221.1,31.02,442.2
PED01594,PROD0028,3,38.14,45.12,114.42
PED00242,PROD0047,1,232.91,26.81,232.91
PED01973,PROD0004,3,399.77,46.69,1199.31
PED01230,PROD0034,4,200.11,20.93,800.44
PED00911,PROD0073,2,197.95,37.6,395.9
PED01294,PROD0082,2,17.7,18.54,35.4
PED00760,PROD0070,1,234.34,5.05,234.34
PED01802,PROD0045,3,22.42,22.09,67.26
PED00704,PROD0034,3,289.47,38.2,868.4100000000001
PED01870,PROD0044,4,258.32,11.75,1033.28
PED01753,PROD0012,1,421.6,27.72,421.6
PED00114,PROD0009,4,295.07,14.55,1180.28
PED01603,PROD0065,4,168.48,8.36,673.92
PED01322,PROD0069,2,262.95,32.79,525.9
PED01860,PROD0071,2,352.86,47.84,705.72
PED01506,PROD0099,3,56.04,18.98,168.12
PED00396,PROD0024,3,314.33,31.13,942.99
PED00393,PROD0043,4,459.15,47.91,1836.6
PED01098,PROD0059,3,156.57,34.27,469.71
PED00977,PROD0046,4,317.05,35.29,1268.2
PED01505,PROD0039,3,412.45,13.05,1237.35
PED01126,PROD0006,3,260.79,27.17,782.3700000000001
PED00296,PROD0045,2,361.81,21.52,723.62
PED01001,PROD0022,2,162.4,26.19,324.8
PED00177,PROD0082,2,159.97,41.04,319.94
PED01238,PROD0045,2,337.12,25.73,674.24
PED00966,PROD0085,1,355.65,7.83,355.65
PED00314,PROD0012,2,469.13,45.75,938.26
PED01062,PROD0020,1,120.17,29.52,120.17
PED00258,PROD0000,2,239.43,46.6,478.86
PED01739,PROD0018,3,132.75,30.76,398.25
PED00006,PROD0059,4,49.25,8.13,197.0
PED00048,PROD0032,3,207.58,29.88,622.74
PED01561,PROD0003,3,193.3,30.91,579.9000000000001
PED00160,PROD0002,1,142.51,14.65,142.51
PED01892,PROD0090,2,155.53,26.2,311.06
PED00175,PROD0051,4,186.6,25.67,746.4
PED01614,PROD0098,4,494.53,33.03,1978.12
PED01025,PROD0027,2,393.65,16.68,787.3
PED01000,PROD0069,1,44.99,31.18,44.99
PED01918,PROD0069,1,437.48,15.84,437.48
PED00454,PROD0054,1,320.32,25.09,320.32
PED01951,PROD0056,4,446.39,10.52,1785.56
PED01667,PROD0086,1,177.44,6.68,177.44
PED00275,PROD0096,1,237.61,19.43,237.61
PED00497,PROD0015,4,449.15,17.36,1796.6
PED01652,PROD0023,4,143.56,23.31,574.24
PED00675,PROD0068,3,458.6,48.29,1375.8000000000002
PED01823,PROD0040,4,415.96,28.5,1663.84
PED01051,PROD0076,2,490.47,29.89,980.94
PED01356,PROD0046,4,168.89,47.37,675.56
PED01024,PROD0075,4,125.52,46.45,502.08
PED01211,PROD0068,1,172.12,44.79,172.12
PED00055,PROD0030,3,477.78,9.41,1433.34
PED00546,PROD0091,1,173.21,33.54,173.21
PED01135,PROD0091,3,286.95,41.36,860.8499999999999
PED01821,PROD0029,1,207.8,42.6,207.8
PED01333,PROD0017,2,204.15,31.01,408.3
PED00035,PROD0043,1,104.76,5.79,104.76
PED00438,PROD0026,1,273.17,48.82,273.17
PED01752,PROD0098,2,426.21,26.25,852.42
PED01615,PROD0025,2,34.25,22.71,68.5
PED01849,PROD0059,4,445.72,22.77,1782.88
PED00594,PROD0017,1,336.08,24.09,336.08
PED01600,PROD0096,2,312.2,15.9,624.4
PED01348,PROD0088,2,316.69,19.73,633.38
PED01663,PROD0055,4,155.17,49.34,620.68
PED00306,PROD0030,3,213.42,21.57,640.26
PED01557,PROD0058,2,401.65,28.7,803.3
PED01751,PROD0001,2,160.13,43.17,320.26
PED00618,PROD0096,1,240.31,28.73,240.31
PED01132,PROD0038,4,19.62,19.6,78.48
PED01395,PROD0060,1,369.44,28.57,369.44
PED00356,PROD0062,3,214.67,10.13,644.01
PED00180,PROD0095,4,267.43,10.85,1069.72
PED01379,PROD0017,1,66.2,36.23,66.2
PED01699,PROD0016,2,495.94,46.29,991.88
PED00067,PROD0097,2,158.21,37.66,316.42
PED00291,PROD0038,4,321.14,8.36,1284.56
PED00691,PROD0070,2,294.81,23.13,589.62
PED00180,PROD0053,1,394.7,5.11,394.7
PED01489,PROD0098,4,153.98,28.0,615.92
PED00433,PROD0093,2,380.4,13.69,760.8
PED01487,PROD0075,2,197.43,44.07,394.86
PED01704,PROD0034,3,211.47,9.7,634.41
PED00913,PROD0010,3,339.63,5.06,1018.89
PED01557,PROD0060,4,394.3,25.3,1577.2
PED00065,PROD0043,3,336.76,11.99,1010.28
PED01044,PROD0067,1,450.94,38.21,450.94
PED01635,PROD0024,2,149.73,46.4,299.46
PED00383,PROD0047,2,451.3,6.89,902.6
PED01835,PROD0031,2,74.12,22.8,148.24
PED01638,PROD0083,4,333.17,49.86,1332.68
PED01582,PROD0094,4,278.34,37.97,1113.36
PED00038,PROD0003,3,252.37,47.89,757.11
PED01308,PROD0037,2,162.35,12.38,324.7
PED00821,PROD0062,2,256.83,14.96,513.66
PED00601,PROD0046,2,89.27,11.97,178.54
PED01620,PROD0000,2,190.97,18.61,381.94
PED00784,PROD0002,2,58.35,37.6,116.7
PED01359,PROD0085,1,290.2,12.42,290.2
PED01211,PROD0061,2,56.93,28.59,113.86
PED00670,PROD0063,1,88.57,17.11,88.57
PED01266,PROD0016,2,51.88,42.31,103.76
PED01096,PROD0077,4,196.84,5.3,787.36
PED00478,PROD0061,4,422.56,15.04,1690.24
PED01997,PROD0034,1,454.38,32.24,454.38
PED00560,PROD0012,2,45.23,9.35,90.46
PED00100,PROD0034,4,320.93,25.98,1283.72
PED00513,PROD0042,4,345.35,24.63,1381.4
PED01779,PROD0001,2,271.55,43.36,543.1
PED00175,PROD0055,2,336.82,33.14,673.64
PED00237,PROD0076,4,124.51,33.79,498.04
PED00909,PROD0050,2,249.93,47.83,499.86
PED01082,PROD0053,3,201.53,49.21,604.59
PED01888,PROD0015,2,53.96,34.4,107.92
PED01122,PROD0017,4,316.52,28.49,1266.08
PED01977,PROD0006,4,252.66,32.36,1010.64
PED00870,PROD0044,1,144.84,22.21,144.84
PED01977,PROD0035,3,242.11,49.44,726.33
PED00494,PROD0040,4,389.9,36.73,1559.6
PED00946,PROD0093,3,402.81,18.1,1208.43
PED01537,PROD0041,2,328.27,7.6,656.54
PED00754,PROD0006,4,239.2,7.01,956.8
PED01320,PROD0014,1,292.12,14.22,292.12
PED00210,PROD0059,4,198.66,15.48,794.64
PED01146,PROD0039,1,72.01,23.68,72.01
PED01252,PROD0082,3,198.95,14.67,596.8499999999999
PED01617,PROD0036,1,269.86,33.39,269.86
PED01679,PROD0065,2,303.43,14.51,606.86
PED01411,PROD0054,2,468.54,13.45,937.08
PED00139,PROD0076,2,390.89,26.21,781.78
PED00540,PROD0094,4,84.48,44.99,337.92
PED01414,PROD0079,2,95.35,26.07,190.7
PED00269,PROD0055,2,59.24,23.62,118.48
PED01782,PROD0043,4,371.71,31.01,1486.84
PED01035,PROD0056,3,356.0,16.57,1068.0
PED01890,PROD0005,2,493.32,20.9,986.64
PED01412,PROD0091,2,265.79,14.62,531.58
PED01360,PROD0031,4,414.94,30.73,1659.76
PED00505,PROD0073,3,292.46,36.38,877.3799999999999
PED01129,PROD0017,3,438.3,35.32,1314.9
PED00031,PROD0067,3,363.3,16.47,1089.9
PED01097,PROD0072,4,325.01,40.08,1300.04
PED01194,PROD0006,1,286.91,16.52,286.91
PED01872,PROD0007,1,364.26,11.76,364.26
PED01092,PROD0063,2,215.63,20.74,431.26
PED00812,PROD0006,2,57.32,31.9,114.64
PED00361,PROD0040,2,29.59,11.39,59.18
PED01672,PROD0039,1,244.72,34.16,244.72
PED01456,PROD0002,4,303.65,43.84,1214.6
PED00928,PROD0016,2,48.64,18.19,97.28
PED00099,PROD0065,4,150.58,25.26,602.32
PED01681,PROD0078,2,167.8,15.27,335.6
PED00008,PROD0092,4,285.77,21.26,1143.08
PED01597,PROD0051,4,146.46,5.99,585.84
PED00696,PROD0021,1,56.87,47.92,56.87
PED01052,PROD0003,4,90.78,23.72,363.12
PED01916,PROD0005,3,95.23,40.5,285.69
PED01137,PROD0037,1,422.92,11.42,422.92
PED00461,PROD0025,2,149.32,41.56,298.64
PED00920,PROD0010,1,360.2,43.71,360.2
PED01166,PROD0089,3,288.24,37.2,864.72
PED00389,PROD0016,3,488.75,45.64,1466.25
PED00631,PROD0087,4,143.68,12.52,574.72
PED00681,PROD0091,3,87.6,26.44,262.79999999999995
PED00156,PROD0098,3,35.5,32.9,106.5
PED00334,PROD0030,3,128.07,31.83,384.21
PED01884,PROD0076,3,345.19,43.75,1035.57
PED00259,PROD0034,2,51.78,14.71,103.56
PED00081,PROD0015,2,129.9,12.9,259.8
PED00753,PROD0078,1,429.1,16.4,429.1
PED01464,PROD0017,4,295.65,45.12,1182.6
